Case,AoA,NumPan,CL,CD
1,-5.0,24,-0.6229814585705352,0.005106755450666304
1,-5.0,50,-0.6276844153515345,0.001761460055623006
1,-5.0,100,-0.6295565332361154,0.0007024778726095099
1,-5.0,200,-0.630369814880489,0.0003079819257262522
1,-3.0,24,-0.3741106470587935,0.0047774941340634515
1,-3.0,50,-0.37691901757815577,0.001723547317832752
1,-3.0,100,-0.3780414047125161,0.0006962604889009607
1,-3.0,200,-0.37852942175193627,0.0003074525750653655
1,-1.0,24,-0.12475720711981643,0.004611824216622316
1,-1.0,50,-0.12569108726122064,0.001704463403880375
1,-1.0,100,-0.12606506799906436,0.0006931281032515522
1,-1.0,200,-0.12622774816574625,0.0003071842159412856
1,1.0,24,0.12475720711981715,0.004611824216622321
1,1.0,50,0.12569108726122236,0.0017044634038803587
1,1.0,100,0.12606506799906692,0.0006931281032514885
1,1.0,200,0.12622774816574842,0.0003071842159412919
1,3.0,24,0.3741106470587941,0.004777494134063398
1,3.0,50,0.37691901757815766,0.0017235473178327234
1,3.0,100,0.37804140471251935,0.0006962604889009349
1,3.0,200,0.37852942175193816,0.00030745257506531963
1,5.0,24,0.6229814585705368,0.005106755450666247
1,5.0,50,0.6276844153515363,0.0017614600556229163
1,5.0,100,0.6295565332361184,0.0007024778726094892
1,5.0,200,0.6303698148804922,0.00030798192572621083
2,-5.0,24,-0.6656725947876925,0.06636329500708264
2,-5.0,50,-0.6603072715074411,0.017978439662093226
2,-5.0,100,-0.6499669624501535,0.005775775667573072
2,-5.0,200,-0.6428245852525344,0.003723549298999226
2,-3.0,24,-0.41708637299096796,0.05562378061934279
2,-3.0,50,-0.39309074844475356,0.012350804550552675
2,-3.0,100,-0.38251079281383543,0.0019477726976859216
2,-3.0,200,-0.3777380976144389,0.0001109948100430475
2,-1.0,24,-0.16834598873308013,0.044875067502869403
2,-1.0,50,-0.129160653423951,0.007980566677845304
2,-1.0,100,-0.11898354994898314,-0.000901973139052201
2,-1.0,200,-0.11625999647546034,-0.0023924089344750316
2,1.0,24,0.0801608924728734,0.03441039370663641
2,1.0,50,0.13098458237027286,0.004968603764807412
2,1.0,100,0.14025907484329378,-0.0026760798774709592
2,1.0,200,0.14117895568339764,-0.0037193136263811034
2,3.0,24,0.32801733526275834,0.02451105537846816
2,3.0,50,0.38684104659235335,0.0033838219131320842
2,3.0,100,0.3948526950729694,-0.0033067745038964503
2,3.0,200,0.39414636892927135,-0.003832024175757012
2,5.0,24,0.5747794820730251,0.015440992743613834
2,5.0,50,0.6379041896469351,0.0032596717563018194
2,5.0,100,0.6444291446664765,-0.0027584987814430893
2,5.0,200,0.6422128768297881,-0.0027249295552664483
3,-5.0,24,-0.6465075082539957,0.20346826959974135
3,-5.0,50,-0.6307451395566246,0.20069990158580903
3,-5.0,100,-0.6232529689128702,0.20211485648567137
3,-5.0,200,-0.6045007284109001,0.3737423263060746
3,-3.0,24,-0.4028438427793222,0.16451028573418366
3,-3.0,50,-0.3871507843998073,0.1629655296011178
3,-3.0,100,-0.37950991753237656,0.16312792883307017
3,-3.0,200,-0.3702363783573545,0.26664487165750417
3,-1.0,24,-0.1564599864679076,0.12732268118572992
3,-1.0,50,-0.14070116729684168,0.1263603998845585
3,-1.0,100,-0.13269559781525211,0.12530394335171677
